ITEMS,CO-ORDINATES,MAP CO-ORDINATES
APPLE,101,"34.211103,-118.436335"
BANANA,102,"34.211107,-118.436357"
ORANGE,103,"34.211111,-118.436372"
PINEAPPLE,104,"34.211114,-118.436388"
GRAPES,105,"34.211117,-118.436403"
STRAWBERRY,106,"34.211120,-118.436419"
PAPAYA,107,"34.211124,-118.436435"
MELON,108,"34.211127,-118.436451"
WATERMELON,109,"34.211130,-118.436467"
CAPSICUM,201,"34.211057,-118.436334"
CAULIFLOWER,202,"34.211061,-118.436352"
BEANS,203,"34.211065,-118.436370"
BEETS,204,"34.211068,-118.436388"
ONION,205,"34.211071,-118.436405"
GARLIC,206,"34.211074,-118.436423"
BRINJAL,207,"34.211078,-118.436440"
GINGER,208,"34.211081,-118.436458"
LOKI,209,"34.211084,-118.436476"
GUAVA,110,"34.211133,-118.436483"
PEAS,210,"34.211087,-118.436494"
MAPLE SYRUP,301,"34.210942,-118.436365"
HONEY,301,"34.210942,-118.436365"
COOKING OIL,302,"34.210991,-118.436371"
BROOKE BOND TEA,302,"34.210946,-118.436382"
FLOUR ,303,"34.210995,-118.436389"
LIPTON TEA,303,"34.210950,-118.436400"
LIPTON GREEN TEA,303,"34.210950,-118.436400"
MAIDA,304,"34.210998,-118.436407"
WAGH BAKRI TEA,304,"34.210953,-118.436418"
BASMATI RICE,305,"34.211001,-118.436424"
TATA TEA GOLD ,305,"34.210956,-118.436436"
KOHINOOR RICE,306,"34.211004,-118.436442"
INDIA GATE RICE,306,"34.211004,-118.436442"
TAJ MAHAL TEA,306,"34.210959,-118.436453"
FORTUNE BASMATI RICE,307,"34.211008,-118.436460"
NESCAFE COFFEE,307,"34.210963,-118.436471"
MUNG DAL,308,"34.211011,-118.436478"
GREEN MUNG DAL,308,"34.210966,-118.436489"
BRU COFFEE,308,"34.210966,-118.436489"
MASOOR DAL,309,"34.211014,-118.436496"
TOOR DAL,309,"34.211014,-118.436496"
STARBUCKS COFFEE,309,"34.210969,-118.436507"
RAJMA,310,"34.211017,-118.436514"
TALOD INSTANT,310,"34.211017,-118.436514"
GITS INSTANT,310,"34.211017,-118.436514"
WATER BOTTLE,310,"34.210972,-118.436525"
BOURNAVITA,401,"34.210872,-118.436385"
HORLICKS,401,"34.210872,-118.436385"
KNORR NOODLES,401,"34.210827,-118.436395"
CHING'S NOODLES,401,"34.210827,-118.436395"
COMPLAN,402,"34.210876,-118.436402"
HALDIRAM SEV,402,"34.210831,-118.436412"
CEREAL ,403,"34.210880,-118.436420"
CHING'S SOUP,403,"34.210835,-118.436430"
KNORR SOUP,403,"34.210835,-118.436430"
KELLOGS,404,"34.210883,-118.436438"
CORN FLAKES,404,"34.210883,-118.436438"
MAGGIE,404,"34.210838,-118.436448"
CHOCOPIC ,405,"34.210886,-118.436455"
NESQUIK,405,"34.210886,-118.436455"
BOURNBON,405,"34.210841,-118.436465"
CHIPS,406,"34.210889,-118.436473"
PARLE - G,406,"34.210844,-118.436483"
LAYS,407,"34.210893,-118.436491"
BRITANNIA ,407,"34.210848,-118.436501"
KURKURE,408,"34.210896,-118.436509"
HIDE AND SEEK,408,"34.210851,-118.436519"
BALAJI CHIPS,409,"34.210899,-118.436527"
MILK BIKIS,409,"34.210854,-118.436537"
TORTILAS,410,"34.210857,-118.436555"
CHOCOLATE COOKIES,410,"34.210902,-118.436545"
OLDSPICE AFTERSHAVE,501,"34.210757,-118.436414"
WILDSTONE AFTERSHAVE,501,"34.210757,-118.436414"
OLDSPICE DEO,501,"34.210712,-118.436427"
WILDSTONE DEO,501,"34.210712,-118.436427"
NIVEA DEO,501,"34.210712,-118.436427"
NIVEA AFTERSHAVE,502,"34.210761,-118.436432"
PARK AVENUE AFTERSHAVE,502,"34.210761,-118.436432"
GILETTE AFTERSHAVE,502,"34.210761,-118.436432"
ADIDAS DEO,502,"34.210716,-118.436444"
PARK AVENUE DEO,502,"34.210716,-118.436444"
FOGG DEO ,502,"34.210716,-118.436444"
GILETTE RAZOR,502,"34.210716,-118.436444"
TOOTHBRUSH,503,"34.210720,-118.436462"
HIMALAYA FACEWASH,503,"34.210765,-118.436450"
LAKME FACEWASH,503,"34.210765,-118.436450"
POND'S FACEWASH,503,"34.210765,-118.436450"
DOVE FACEWASH,503,"34.210765,-118.436450"
BIOTIQUE FACEWASH,503,"34.210765,-118.436450"
SUNSILK CONDITIONER,504,"34.210768,-118.436468"
PANTENE CONDITIONER,504,"34.210768,-118.436468"
FIAMI CONDITIONER,504,"34.210768,-118.436468"
CLEAR CONDITIONER,504,"34.210768,-118.436468"
TOUNGE CLEANER,504,"34.210723,-118.436480"
PANTENE SHAMPOO,505,"34.210771,-118.436486"
FIAMI DI WELLS SHAMPOO,505,"34.210771,-118.436486"
DOVE CONDITIONER,505,"34.210771,-118.436486"
TOOTH PASTE,505,"34.210726,-118.436497"
DOVE SHAMPOO,506,"34.210774,-118.436504"
SUNSILK SHAMPOO,506,"34.210774,-118.436504"
HEAD & SHOULDER ,506,"34.210774,-118.436504"
CLEAR SHAMPOO,506,"34.210774,-118.436504"
MOUTHWASH,506,"34.210729,-118.436515"
DETTOL SOAP,507,"34.210778,-118.436522"
PEARS SOAP,507,"34.210778,-118.436522"
LIFEBOUY SOAP,507,"34.210778,-118.436522"
DOVE CREAM,507,"34.210733,-118.436533"
BIOTIQUE CREAM,507,"34.210733,-118.436533"
NIVEA CREAM,507,"34.210733,-118.436533"
HIMALAYA CREAM,507,"34.210733,-118.436533"
LOTION,507,"34.210733,-118.436533"
DOVE SOAP,508,"34.210781,-118.436540"
LUX SOAP,508,"34.210781,-118.436540"
PATANJALI SOAP,508,"34.210781,-118.436540"
PERFUMES,508,"34.210736,-118.436551"
HANDWASH,509,"34.210784,-118.436558"
PARACHUTE OIL,509,"34.210739,-118.436569"
NAVRATNA OIL,509,"34.210739,-118.436569"
HAIRFALL OIL,510,"34.210742,-118.436587"
DETERGENT,510,"34.210787,-118.436576"
SODA,601,"34.210935,-118.436555"
PEPSI,601,"34.210935,-118.436555"
COCA COLA,601,"34.210935,-118.436555"
7-UP,601,"34.210935,-118.436555"
SPRITE,601,"34.210935,-118.436555"
THUMPS-UP,601,"34.210935,-118.436555"
JUICE,602,"34.210958,-118.436549"
REAL JUICE,602,"34.210958,-118.436549"
ROLLS,603,"34.210979,-118.436543"
CREAM,603,"34.210979,-118.436543"
CAKES,604,"34.211000,-118.436537"
CHOCOLATE MILK,605,"34.211021,-118.436531"
