ITEMS,CO-ORDINATES,MAP COORDINATES
APPLE,101,"34.211078,-118.436335"
BANANA,102,"34.211081,-118.436352"
ORANGE,103,"34.211084,-118.436367"
PINEAPPLE,104,"34.211087,-118.436386"
GRAPES,105,"34.211090,-118.436403"
STRAWBERRY,106,"34.211093,-118.436420"
PAPAYA,107,"34.211096,-118.436437"
MELON,108,"34.211099,-118.436454"
WATERMELON,109,"34.211102,-118.436471"
GUAVA,110,"34.211105,-118.436488"
CAPSICUM,201,"34.211078,-118.436335"
CAULIFLOWER,202,"34.211081,-118.436352"
BEANS,203,"34.211084,-118.436367"
BEETS,204,"34.211087,-118.436386"
ONION,205,"34.211090,-118.436403"
GARLIC,206,"34.211093,-118.436420"
BRINJAL,207,"34.211096,-118.436437"
GINGER,208,"34.211099,-118.436454"
LOKI,209,"34.211102,-118.436471"
PEAS,210,"34.211105,-118.436488"
MAPLE SYRUP,301,"34.210965,-118.436360"
HONEY,301,"34.210965,-118.436360"
COOKING OIL,302,"34.210968,-118.436378"
BROOKE BOND TEA,302,"34.210968,-118.436378"
FLOUR ,303,"34.210971,-118.436396"
LIPTON TEA,303,"34.210971,-118.436396"
LIPTON GREEN TEA,303,"34.210971,-118.436396"
MAIDA,304,"34.210974,-118.436414"
WAGH BAKRI TEA,304,"34.210974,-118.436414"
BASMATI RICE,305,"34.210978,-118.436432"
TATA TEA GOLD ,305,"34.210978,-118.436432"
KOHINOOR RICE,306,"34.210981,-118.436450"
INDIA GATE RICE,306,"34.210981,-118.436450"
TAJ MAHAL TEA,306,"34.210981,-118.436450"
FORTUNE BASMATI RICE,307,"34.210984,-118.436467"
NESCAFE COFFEE,307,"34.210984,-118.436467"
MUNG DAL,308,"34.210987,-118.436485"
GREEN MUNG DAL,308,"34.210987,-118.436485"
BRU COFFEE,308,"34.210987,-118.436485"
MASOOR DAL,309,"34.210991,-118.436503"
TOOR DAL,309,"34.210991,-118.436503"
STARBUCKS COFFEE,309,"34.210991,-118.436503"
RAJMA,310,"34.210995,-118.436520"
TALOD INSTANT,310,"34.210995,-118.436520"
GITS INSTANT,310,"34.210995,-118.436520"
WATER BOTTLE,310,"34.210995,-118.436520"
BOURNAVITA,401,"34.210850,-118.436390"
HORLICKS,401,"34.210850,-118.436390"
KNORR NOODLES,401,"34.210850,-118.436390"
CHING'S NOODLES,401,"34.210850,-118.436390"
COMPLAN,402,"34.210853,-118.436403"
HALDIRAM SEV,402,"34.210853,-118.436403"
CEREAL ,403,"34.210856,-118.436426"
CHING'S SOUP,403,"34.210856,-118.436426"
KNORR SOUP,403,"34.210856,-118.436426"
KELLOGS,404,"34.210859,-118.436444"
CORN FLAKES,404,"34.210859,-118.436444"
MAGGIE,404,"34.210859,-118.436444"
CHOCOPIC ,405,"34.210863,-118.436462"
NESQUIK,405,"34.210863,-118.436462"
BOURNBON,405,"34.210863,-118.436462"
CHIPS,406,"34.210866,-118.436479"
PARLE - G,406,"34.210866,-118.436479"
LAYS,407,"34.210869,-118.436497"
BRITANNIA ,407,"34.210869,-118.436497"
KURKURE,408,"34.210872,-118.436515"
HIDE AND SEEK,408,"34.210872,-118.436515"
BALAJI CHIPS,409,"34.210876,-118.436533"
MILK BIKIS,409,"34.210876,-118.436533"
TORTILAS,410,"34.210880,-118.436550"
CHOCOLATE COOKIES,410,"34.210880,-118.436550"
OLDSPICE AFTERSHAVE,501,"34.210735,-118.436422"
WILDSTONE AFTERSHAVE,501,"34.210735,-118.436422"
OLDSPICE DEO,501,"34.210735,-118.436422"
WILDSTONE DEO,501,"34.210735,-118.436422"
NIVEA DEO,501,"34.210735,-118.436422"
NIVEA AFTERSHAVE,502,"34.210738,-118.436440"
PARK AVENUE AFTERSHAVE,502,"34.210738,-118.436440"
GILETTE AFTERSHAVE,502,"34.210738,-118.436440"
ADIDAS DEO,502,"34.210738,-118.436440"
PARK AVENUE DEO,502,"34.210738,-118.436440"
FOGG DEO ,502,"34.210738,-118.436440"
GILETTE RAZOR,502,"34.210738,-118.436440"
TOOTHBRUSH,503,"34.210741,-118.436458"
HIMALAYA FACEWASH,503,"34.210741,-118.436458"
LAKME FACEWASH,503,"34.210741,-118.436458"
POND'S FACEWASH,503,"34.210741,-118.436458"
DOVE FACEWASH,503,"34.210741,-118.436458"
BIOTIQUE FACEWASH,503,"34.210741,-118.436458"
SUNSILK CONDITIONER,504,"34.210744,-118.436476"
PANTENE CONDITIONER,504,"34.210744,-118.436476"
FIAMI CONDITIONER,504,"34.210744,-118.436476"
CLEAR CONDITIONER,504,"34.210744,-118.436476"
TOUNGE CLEANER,504,"34.210744,-118.436476"
PANTENE SHAMPOO,505,"34.210748,-118.436494"
FIAMI DI WELLS SHAMPOO,505,"34.210748,-118.436494"
DOVE CONDITIONER,505,"34.210748,-118.436494"
TOOTH PASTE,505,"34.210748,-118.436494"
DOVE SHAMPOO,506,"34.210751,-118.436511"
SUNSILK SHAMPOO,506,"34.210751,-118.436511"
HEAD & SHOULDER ,506,"34.210751,-118.436511"
CLEAR SHAMPOO,506,"34.210751,-118.436511"
MOUTHWASH,506,"34.210751,-118.436511"
DETTOL SOAP,507,"34.210754,-118.436529"
PEARS SOAP,507,"34.210754,-118.436529"
LIFEBOUY SOAP,507,"34.210754,-118.436529"
DOVE CREAM,507,"34.210754,-118.436529"
BIOTIQUE CREAM,507,"34.210754,-118.436529"
NIVEA CREAM,507,"34.210754,-118.436529"
HIMALAYA CREAM,507,"34.210754,-118.436529"
LOTION,507,"34.210754,-118.436529"
DOVE SOAP,508,"34.210758,-118.436547"
LUX SOAP,508,"34.210758,-118.436547"
PATANJALI SOAP,508,"34.210758,-118.436547"
PERFUMES,508,"34.210758,-118.436547"
HANDWASH,509,"34.210762,-118.436565"
PARACHUTE OIL,509,"34.210762,-118.436565"
NAVRATNA OIL,509,"34.210762,-118.436565"
HAIRFALL OIL,510,"34.210765,-118.436582"
DETERGENT,510,"34.210765,-118.436582"
SODA,601,"34.210935,-118.436555"
PEPSI,601,"34.210935,-118.436555"
COCA COLA,601,"34.210935,-118.436555"
7-UP,601,"34.210935,-118.436555"
SPRITE,601,"34.210935,-118.436555"
THUMPS-UP,601,"34.210935,-118.436555"
JUICE,602,"34.210958,-118.436549"
REAL JUICE,602,"34.210958,-118.436549"
ROLLS,603,"34.210979,-118.436543"
CREAM,603,"34.210979,-118.436543"
CAKES,604,"34.211000,-118.436537"
CHOCOLATE MILK,605,"34.211021,-118.436531"
YOGURT,606,"34.211042,-118.436525"
CHEESE,607,"34.211063,-118.436519"
BUTTER,608,"34.211084,-118.436513"
MILK,609,"34.211105,-118.436507"
AMUL MILK,610,"34.211126,-118.436500"
SALAMI,701,"34.210705,-118.436622"
SALAMI,702,"34.210732,-118.436615"
SAUSAGES,703,"34.210757,-118.436608"
SAUSAGES,704,"34.210783,-118.436600"
FISH,705,"34.210808,-118.436593"
FISH,706,"34.210834,-118.436586"
NUGGETS,707,"34.210859,-118.436578"
NUGGETS,708,"34.210884,-118.436571"
CHICKEN ,709,"34.210910,-118.436563"
CHICKEN ,710,"34.210935,-118.436555"
